id;date;text;hashtags
1130986397261713408;2019-05-21;"""the Trump administration’s trade war, Google blocking Huawei from the enhanced Android OS, the demonization of Belt and Road. It’s all about control of global supply chains and technological infrastructure."" Why capturing Huawei is no victory in tech war https://www.asiatimes.com/2019/05/article/why-capturing-huawei-is-no-victory-in-tech-war/ …";
1130985768950702080;2019-05-21;Huawei Android replacement to arrive this fall with big app catalog http://dlvr.it/R593RH pic.twitter.com/UwgODY412E;
1130985760482418688;2019-05-21;Huawei OS reportedly 'far from ready' after Android ban – CNET https://qworldnews.com/huawei-os-reportedly-far-from-ready-after-android-ban-cnet/ …pic.twitter.com/1QMuzVBH9j;
1130985680782483458;2019-05-21;After an executive order released by #Trump, the #Google has stopped to provide its Android updates to #Huawei, a World leading #Chinese mobile company. On the other hand, China decided to teach a lesson to #USA. Chinese stopped using #iPhone and start buying Huawei phones.;#Trump #Google #Huawei #Chinese #USA #iPhone
1130985657927655424;2019-05-21;Huawei's alternative OS to Android set to roll out as early as fall https://www.androidpolice.com/2019/05/21/huaweis-alternative-os-to-android-set-to-roll-out-as-early-as-fall/ …pic.twitter.com/Uoux9a0HRJ;
1130985521675743232;2019-05-21;Huawei’s Android rival is incoming and will be compatible with Play Store apps https://buff.ly/2HN84zV;
1130985410627346438;2019-05-21;Huawei's alternative OS to Android set to roll out as early as fall #Android pic.twitter.com/UurwVnuS9R;#Android
1130985361197473792;2019-05-21;Huawei To Develop Rival Operating System To Android - The Science And Technology News https://technologynewstracking.blogspot.com/2019/05/huawei-to-develop-rival-operating.html …;
1130985302531559424;2019-05-21;Huawei OS reportedly ‘far from ready’ after Android ban https://www.techhnews.com/huawei-os-reportedly-far-from-ready-after-android-ban/ …pic.twitter.com/GR2jtKqsYp;
1130985179114291201;2019-05-21;Google made the biggest mistake by suspending #Huawei from Android updates and future devices access to the Play Store. Google had no competition, but now they created one. They must prepare for it because it might be bigger, better & cheaper. China doesn't play..... pic.twitter.com/dMrogLuKMa;#Huawei
1130985097207910400;2019-05-21;The free market is under-attack @Huawei vs @Android ..but aint the competition that makes for advancement in tech as well @Apple;
