Date,Price
1551999600000,204.01
1552086000000,203.12
1552172400000,203.12
1552258800000,203.12
1552345200000,213.64
1552431600000,214.23
1552518000000,214.76
1552604400000,214.61
1552690800000,213.72
1552777200000,214.85
1552863600000,214.85
1552950000000,215.63
1553036400000,206.15
1553122800000,206.08
1553209200000,206.67
1553295600000,202.31
1553382000000,202.31
1553468400000,205.13
1553554800000,205.55
1553641200000,202.11
1553727600000,201.57
1553814000000,200.8
1553900400000,201.11
1553986800000,201.11
1554069600000,201.11
1554156000000,201.12
1554242400000,200.48
1554328800000,201.25
1554415200000,200.82
1554501600000,201.07
1554588000000,201.07
1554674400000,201.07
1554760800000,201.3
1554847200000,201.86
1554933600000,191.73
1555020000000,191.48
1555106400000,192.45
1555192800000,192.45
1555279200000,190.19
1555365600000,202.5
1555452000000,179.75
1555538400000,179.69
1555624800000,201.38
1555711200000,201.38
1555797600000,201.38
1555884000000,201.38
1555970400000,201.38
1556056800000,201.29
1556143200000,200.64
1556229600000,199.09
1556316000000,197.94
1556402400000,197.94
1556488800000,197.94
1556575200000,190.63
1556661600000,190.65
1556748000000,190.42
1556834400000,189.95
1556920800000,190.58
1557007200000,168.16
1557093600000,167.96
1557180000000,199.35
1557266400000,190.31
1557352800000,190.34
1557439200000,199.7
1557525600000,201.12
1557612000000,189.88
1557698400000,189.9
1557784800000,190.93
1557871200000,190.53
1557957600000,190.5
1558044000000,195.55
1558130400000,193.2
1558216800000,199.9
1558303200000,184.19
1558389600000,184.32
1558476000000,184.2
1558562400000,184.09
1558648800000,192.03
1558735200000,190.51
1558821600000,184.91
1558908000000,184.96
1558994400000,173.51
1559080800000,173.07
1559167200000,172.63
1559253600000,172.55
1559340000000,171.34
1559426400000,171.34
1559512800000,170.94
1559599200000,172.05
1559685600000,172.18
1559772000000,171.78
1559858400000,172.57
1559944800000,173.52
1560031200000,186.96
1560117600000,181.04
1560204000000,185.2
1560290400000,181.2
1560376800000,185.2
1560463200000,184.98
1560549600000,183.98
1560636000000,182.76
1560722400000,182.64
1560808800000,182.52
1560895200000,178.01
1560981600000,171.83
1561068000000,172.78
1561154400000,136.75
1561240800000,174.35
1561327200000,174.05
1561413600000,174.38
1561500000000,173.92
1561586400000,169.47
1561672800000,134.68
1561759200000,166.29
1561845600000,166.29
1561932000000,163.13
1562018400000,163.43
1562104800000,180.7
1562191200000,157.08
