Date,Price
1551999600000,427.17
1552086000000,425.31
1552172400000,425.31
1552258800000,425.31
1552345200000,426.15
1552431600000,427.32
1552518000000,428.38
1552604400000,428.08
1552690800000,412.73
1552777200000,412.73
1552863600000,417.27
1552950000000,414.23
1553036400000,414.56
1553122800000,406.62
1553209200000,407.8
1553295600000,404.76
1553382000000,404.76
1553468400000,404.76
1553554800000,413.35
1553641200000,412.11
1553727600000,411.02
1553814000000,388.13
1553900400000,388.72
1553986800000,388.72
1554069600000,388.72
1554156000000,414.61
1554242400000,397.34
1554328800000,365.4
1554415200000,398.02
1554501600000,380.8
1554588000000,380.8
1554674400000,380.8
1554760800000,403.73
1554847200000,382.29
1554933600000,382.36
1555020000000,381.85
1555106400000,383.78
1555192800000,383.78
1555279200000,405
1555365600000,383.51
1555452000000,394.54
1555538400000,394.4
1555624800000,387.89
1555711200000,392.63
1555797600000,387.89
1555884000000,387.89
1555970400000,387.89
1556056800000,387.72
1556143200000,384.55
1556229600000,389.29
1556316000000,388.54
1556402400000,381.86
1556488800000,381.86
1556575200000,389.14
1556661600000,391.42
1556748000000,390.95
1556834400000,400.19
1556920800000,386.56
1557007200000,391.28
1557093600000,423.57
1557180000000,390.64
1557266400000,390.46
1557352800000,390.53
1557439200000,335.45
1557525600000,391.32
1557612000000,396.37
1557698400000,396.4
1557784800000,391.96
1557871200000,386.66
1557957600000,386.6
1558044000000,400.11
1558130400000,406.49
1558216800000,385.28
1558303200000,385.13
1558389600000,378.69
1558476000000,378.44
1558562400000,379.56
1558648800000,391.34
1558735200000,389.34
1558821600000,386.62
1558908000000,386.74
1558994400000,379.96
1559080800000,378.52
1559167200000,377.56
1559253600000,350.83
1559340000000,379.63
1559426400000,379.63
1559512800000,372.54
1559599200000,374.97
1559685600000,375.25
1559772000000,369.39
1559858400000,371.08
1559944800000,281.9
1560031200000,281.9
1560117600000,281.33
1560204000000,281.24
1560290400000,374.35
1560376800000,280.69
1560463200000,365.97
1560549600000,364.62
1560636000000,364.62
1560722400000,350.08
1560808800000,346.32
1560895200000,345.47
1560981600000,350.55
1561068000000,356.27
1561154400000,359.52
1561240800000,359.52
1561327200000,318.51
1561413600000,341.27
1561500000000,358.64
1561586400000,355.99
1561672800000,358.67
1561759200000,358.67
1561845600000,351.88
1561932000000,340.93
1562018400000,340.93
1562104800000,338.93
1562191200000,345.53
