Date,Price
1553641200000,1014.95
1553727600000,1011.69
1553814000000,1007.26
1553900400000,1008.79
1553986800000,1008.79
1554069600000,1008.79
1554156000000,1008.88
1554242400000,1005.65
1554328800000,966.67
1554415200000,964.61
1554501600000,1009.85
1554588000000,1009.85
1554674400000,1009.85
1554760800000,991.78
1554847200000,968.64
1554933600000,941.12
1555020000000,939.87
1555106400000,995
1555192800000,995
1555279200000,944.62
1555365600000,994.3
1555452000000,993.6
1555538400000,993.13
1555624800000,966.15
1555711200000,965.76
1555797600000,965.76
1555884000000,965.76
1555970400000,965.76
1556056800000,965.33
1556143200000,940.44
1556229600000,932.89
1556316000000,921.7
1556402400000,921.14
1556488800000,921.6
1556575200000,928.32
1556661600000,940.87
1556748000000,939.74
1556834400000,937.53
1556920800000,937.82
1557007200000,938.39
1557093600000,937.27
1557180000000,939.64
1557266400000,939.11
1557352800000,923.23
1557439200000,923.89
1557525600000,925.66
1557612000000,925.66
1557698400000,898.82
1557784800000,923.84
1557871200000,920.93
1557957600000,922.46
1558044000000,920
1558130400000,919.42
1558216800000,920.09
1558303200000,919.75
1558389600000,920.37
1558476000000,925.43
1558562400000,891.44
1558648800000,893.54
1558735200000,895.29
1558821600000,895.29
1558908000000,884.32
1558994400000,883.1
1559080800000,844.41
1559167200000,829.8
1559253600000,829.99
1559340000000,834.29
1559426400000,834.29
1559512800000,834.5
1559599200000,840.59
1559685600000,841.5
1559772000000,819.08
1559858400000,823.63
1559944800000,830.19
1560031200000,830.19
1560117600000,829
1560204000000,820.35
1560290400000,821.01
1560376800000,820.14
1560463200000,819.05
1560549600000,522.53
1560636000000,522.53
1560722400000,813.94
1560808800000,789.74
1560895200000,788.25
1560981600000,790.84
1561068000000,796.33
1561154400000,801.1
1561240800000,801.1
1561327200000,802.06
1561413600000,803.78
1561500000000,801.14
1561586400000,800.53
1561672800000,794.68
1561759200000,803.3
1561845600000,803.3
1561932000000,768.99
1562018400000,770.43
1562104800000,767.39
1562191200000,757.09
1562277600000,758.98
