Date,Price
1553641200000,789.24
1553727600000,787.14
1553814000000,784.03
1553900400000,785.21
1553986800000,785.21
1554069600000,785.21
1554156000000,769.89
1554242400000,767.42
1554328800000,679.14
1554415200000,676.83
1554501600000,679.23
1554588000000,679.23
1554674400000,679.23
1554760800000,681.87
1554847200000,686.67
1554933600000,681.67
1555020000000,680.63
1555106400000,685.57
1555192800000,685.57
1555279200000,678.13
1555365600000,599.73
1555452000000,598.44
1555538400000,599.76
1555624800000,599.77
1555711200000,599.77
1555797600000,599.74
1555884000000,599.56
1555970400000,599
1556056800000,598.66
1556143200000,610
1556229600000,608.98
1556316000000,608.98
1556402400000,603.98
1556488800000,603.56
1556575200000,603.56
1556661600000,597.99
1556748000000,597.96
1556834400000,597.45
1556920800000,597.25
1557007200000,597.25
1557093600000,597.07
1557180000000,596.93
1557266400000,594.65
1557352800000,592
1557439200000,592
1557525600000,588
1557612000000,588
1557698400000,590
1557784800000,586.97
1557871200000,586.69
1557957600000,584.86
1558044000000,580
1558130400000,580.02
1558216800000,579
1558303200000,574.9
1558389600000,575
1558476000000,574.92
1558562400000,556.73
1558648800000,558.11
1558735200000,559.2
1558821600000,559.2
1558908000000,559.37
1558994400000,558.6
1559080800000,557.17
1559167200000,559
1559253600000,550
1559340000000,547.99
1559426400000,592.4
1559512800000,591.01
1559599200000,594.87
1559685600000,540.01
1559772000000,540
1559858400000,540
1559944800000,537
1560031200000,537
1560117600000,537
1560204000000,537
1560290400000,610.61
1560376800000,608.67
1560463200000,536.82
1560549600000,605.7
1560636000000,593.3
1560722400000,588.31
1560808800000,535.49
1560895200000,537.38
1560981600000,539.08
1561068000000,542.05
1561154400000,546.99
1561240800000,546.99
1561327200000,539.99
1561413600000,540
1561500000000,568.27
1561586400000,549.98
1561672800000,585.49
1561759200000,591.12
1561845600000,543.49
1561932000000,559.9
1562018400000,585
1562104800000,568.9
1562191200000,584.19
