_id;webTitle;type;sectionId;sectionName;webPublicationDate;webUrl;apiUrl;source
nyt://article/7b711f04-de42-5d34-8727-128060edf7e1;Why trade talks fell apart. ;briefing;NYTNow;Briefing;16/05/2019;https://www.nytimes.com/2019/05/16/briefing/theresa-may-immigration-iran.html;nyt://article/7b711f04-de42-5d34-8727-128060edf7e1;The New York Times
nyt://article/8b6af25d-2e86-5e13-bd2c-81bf92b8dfa7;Let us help you start your day.;briefing;NYTNow;Briefing;21/05/2019;https://www.nytimes.com/2019/05/20/briefing/austria-huawei-eiffel-tower.html;nyt://article/8b6af25d-2e86-5e13-bd2c-81bf92b8dfa7;The New York Times
nyt://article/fd53b419-91cd-5e8e-b404-cdbc30b0cd5a;Ajit Pai said the companies had secured his support by making what he called “significant commitments” to expand rural broadband service, build a robust 5G network and sell off Boost Mobile.;News;Business;Business Day;20/05/2019;https://www.nytimes.com/2019/05/20/business/dealbook/sprint-tmobile-merger.html;nyt://article/fd53b419-91cd-5e8e-b404-cdbc30b0cd5a;The New York Times
nyt://article/c0efb1c2-8916-5984-9a5e-f1f055832149;Selling was especially heavy among semiconductor stocks, as investors grappled with the prospect that the administration order cuts off the flow of crucial microchips to Huawei, a major customer.;News;Business;Business Day;20/05/2019;https://www.nytimes.com/2019/05/20/business/stock-market-today.html;nyt://article/c0efb1c2-8916-5984-9a5e-f1f055832149;The New York Times
nyt://article/9161e8d2-4338-50cd-8362-c28aa46189b3;The company suppressed competition in the smartphone chip market and then charged excessive licensing fees, a federal judge has ruled.;News;Business;Business Day;22/05/2019;https://www.nytimes.com/2019/05/22/business/dealbook/qualcomm-antitrust.html;nyt://article/9161e8d2-4338-50cd-8362-c28aa46189b3;The New York Times
nyt://article/4ba3fc59-504e-573d-b5cf-9976f926dafd;Here’s what you need to know at the end of the day.;briefing;NYTNow;Briefing;21/05/2019;https://www.nytimes.com/2019/05/21/briefing/donald-mcgahn-vermont-wanda-sykes.html;nyt://article/4ba3fc59-504e-573d-b5cf-9976f926dafd;The New York Times
nyt://article/30a521d0-2bbf-5cfb-9263-6cd741eca9f0;Here’s what you need to know at the end of the day.;briefing;NYTNow;Briefing;20/05/2019;https://www.nytimes.com/2019/05/20/briefing/tornadoes-joe-biden-huawei.html;nyt://article/30a521d0-2bbf-5cfb-9263-6cd741eca9f0;The New York Times
nyt://article/8c286388-1e4a-5af3-92e3-961de5437206;Many small carriers depend on inexpensive equipment from the Chinese company. Now they must rethink expansion plans, and perhaps replace existing gear.;News;Business;Technology;25/05/2019;https://www.nytimes.com/2019/05/25/technology/huawei-rural-wireless-service.html;nyt://article/8c286388-1e4a-5af3-92e3-961de5437206;The New York Times
nyt://interactive/3cafda28-a799-5afe-bf91-ff4239520224;Did you stay up to date this week?;Interactive Feature;Briefing;Briefing;24/05/2019;https://www.nytimes.com/interactive/2019/05/24/briefing/24weeklynewsquiz.html;nyt://interactive/3cafda28-a799-5afe-bf91-ff4239520224;The New York Times
nyt://article/7c36718d-1b4c-55b5-be22-b2f24325fb35;Here’s what you need to know.;briefing;NYTNow;Briefing;24/05/2019;https://www.nytimes.com/2019/05/24/briefing/huawei-britain-julian-assange.html;nyt://article/7c36718d-1b4c-55b5-be22-b2f24325fb35;The New York Times
nyt://article/b5bea33a-4209-5a51-801a-f902b5c35a07;A grace period in corporate America’s freeze-out of Huawei might not help the tech company very much.;News;Business;Business Day;21/05/2019;https://www.nytimes.com/2019/05/21/business/dealbook/huawei-china-tech.html;nyt://article/b5bea33a-4209-5a51-801a-f902b5c35a07;The New York Times
nyt://article/2a238a28-d6e5-56c5-93e8-c30a9738c8e3;Let us help you start your day.;briefing;NYTNow;Briefing;16/05/2019;https://www.nytimes.com/2019/05/15/briefing/iran-abortion-brexit.html;nyt://article/2a238a28-d6e5-56c5-93e8-c30a9738c8e3;The New York Times
nyt://article/4f70fdba-9223-545b-9dd1-21f560e06987;Here’s what you need to know.;briefing;NYTNow;Briefing;16/05/2019;https://www.nytimes.com/2019/05/16/briefing/iran-immigration-jeff-koons.html;nyt://article/4f70fdba-9223-545b-9dd1-21f560e06987;The New York Times
nyt://article/2a7f6214-693a-5910-8f0d-aff4dcc30502;Tariffs first looked like a temporary bargaining tool. Now they’re starting to look like the new normal.;News;Business;Business Day;15/05/2019;https://www.nytimes.com/2019/05/15/business/dealbook/trade-war-tariffs.html;nyt://article/2a7f6214-693a-5910-8f0d-aff4dcc30502;The New York Times
nyt://article/3e9f4090-9002-5bb6-b001-0cd8bcc8f106;President Trump said he would remove metal tariffs on Canada and Mexico and delay auto tariffs, stepping back from opening another front in a global trade war.;News;Business;U.S.;17/05/2019;https://www.nytimes.com/2019/05/17/us/politics/china-auto-tariffs-donald-trump.html;nyt://article/3e9f4090-9002-5bb6-b001-0cd8bcc8f106;The New York Times
nyt://article/2bd7b2dc-81fa-5b6a-bb0a-13eef5544d8c;The director of the Chinese tech giant’s board warns that banning the company will hurt the U.S. economy.;Op-Ed;OpEd;Opinion;17/05/2019;https://www.nytimes.com/2019/05/17/opinion/executive-order-china-huawei-ban.html;nyt://article/2bd7b2dc-81fa-5b6a-bb0a-13eef5544d8c;The New York Times
nyt://article/ba9079a1-94d4-5d07-857b-65a970aa1907;The tech cold war is heating up. U.S. companies that depend on the giant China market are preparing themselves for the fallout.;News;Business;Technology;31/05/2019;https://www.nytimes.com/2019/05/31/technology/china-trade-unreliable-entities.html;nyt://article/ba9079a1-94d4-5d07-857b-65a970aa1907;The New York Times
nyt://article/8a8529ff-cc9e-5b77-9f4c-29871678c114;The president’s tough rhetoric plays into Chinese economic nationalism.;Op-Ed;OpEd;Opinion;29/05/2019;https://www.nytimes.com/2019/05/29/opinion/trump-china-trade-war.html;nyt://article/8a8529ff-cc9e-5b77-9f4c-29871678c114;The New York Times
nyt://article/ce6a84cb-1247-58cc-a5f0-07fc243379bb;Patrick Shanahan, acting U.S. defense secretary, and his Chinese counterpart will both attempt to win over Asian nations this weekend at a security conference in Singapore.;News;Foreign;World;31/05/2019;https://www.nytimes.com/2019/05/31/world/asia/patrick-shanahan-china-trade.html;nyt://article/ce6a84cb-1247-58cc-a5f0-07fc243379bb;The New York Times
nyt://article/ab5c3afe-29bd-566e-b328-b95f29f448b7;The decision could avoid further escalating tensions between Washington and Beijing, which have grown heated after a breakdown in trade negotiations this month.;News;Washington;U.S.;28/05/2019;https://www.nytimes.com/2019/05/28/us/politics/treasury-declines-to-label-china-currency-manipulator.html;nyt://article/ab5c3afe-29bd-566e-b328-b95f29f448b7;The New York Times
nyt://article/826dd39a-04b0-540a-be85-fbe55060b5b3;The Chinese telecommunications giant has filed for summary judgment against the White House as it challenges limits against it via the courts and public opinion.;News;Business;Business Day;29/05/2019;https://www.nytimes.com/2019/05/29/business/huawei-us-lawsuit.html;nyt://article/826dd39a-04b0-540a-be85-fbe55060b5b3;The New York Times
nyt://article/c967e2e4-cb41-560e-addc-645711a0def9;There’s plenty of complexity involved in the automakers’ proposed merger.;News;Business;Business Day;28/05/2019;https://www.nytimes.com/2019/05/28/business/dealbook/fiat-chrysler-renault.html;nyt://article/c967e2e4-cb41-560e-addc-645711a0def9;The New York Times
nyt://article/cb2da92e-c7f8-59be-a137-3ebc8f3fb250;A federal judge found that the chip-making giant charged cellphone makers “onerous” fees for the use of its patents. The company said it would appeal the ruling.;News;Business;Business Day;22/05/2019;https://www.nytimes.com/2019/05/22/business/qualcomm-antitrust-ruling.html;nyt://article/cb2da92e-c7f8-59be-a137-3ebc8f3fb250;The New York Times
nyt://article/7d9584c3-6492-588a-be6e-3033bef6e018;More companies around the world are realizing that they have little choice but to turn their backs on the Chinese company.;News;Business;Business Day;23/05/2019;https://www.nytimes.com/2019/05/23/business/dealbook/huawei-china-technology.html;nyt://article/7d9584c3-6492-588a-be6e-3033bef6e018;The New York Times
nyt://article/84e020d0-96e2-53a0-9e8b-d4aaafbb2db2;The Chinese leader invoked a time of hardship before success in Communist Party history, at a time when the economy and consumers face other challenges.;News;Foreign;World;22/05/2019;https://www.nytimes.com/2019/05/21/world/asia/xi-jinping-china-trade.html;nyt://article/84e020d0-96e2-53a0-9e8b-d4aaafbb2db2;The New York Times
