Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,4.260000,4.650000,4.250000,4.500000,4.500000,25343270
2019-04-02,4.520000,4.520000,4.410000,4.450000,4.450000,17980443
2019-04-03,4.460000,4.900000,4.380000,4.900000,4.900000,72388135
2019-04-04,4.910000,5.150000,4.730000,5.020000,5.020000,96299675
2019-04-08,5.070000,5.090000,4.800000,4.880000,4.880000,59813188
2019-04-09,4.820000,4.850000,4.700000,4.820000,4.820000,28256854
2019-04-10,4.780000,4.900000,4.700000,4.830000,4.830000,25377778
2019-04-11,4.800000,4.840000,4.670000,4.680000,4.680000,19482203
2019-04-12,4.680000,4.740000,4.610000,4.740000,4.740000,13826704
2019-04-15,4.780000,4.970000,4.740000,4.850000,4.850000,29211790
2019-04-16,4.800000,4.890000,4.700000,4.880000,4.880000,23502141
2019-04-17,4.860000,4.950000,4.820000,4.840000,4.840000,22577563
2019-04-18,4.810000,4.830000,4.680000,4.690000,4.690000,19408900
2019-04-19,4.690000,4.740000,4.640000,4.700000,4.700000,12670000
2019-04-22,4.730000,4.740000,4.520000,4.540000,4.540000,16818124
2019-04-23,4.540000,4.560000,4.360000,4.410000,4.410000,14241003
2019-04-24,4.420000,4.570000,4.370000,4.560000,4.560000,13291982
2019-04-25,4.520000,4.610000,4.300000,4.300000,4.300000,15013218
2019-04-26,4.270000,4.280000,4.090000,4.140000,4.140000,13688757
2019-05-06,3.880000,3.940000,3.620000,3.740000,3.740000,14207291
2019-05-07,3.770000,3.830000,3.710000,3.770000,3.770000,6744597
2019-05-08,3.710000,3.820000,3.610000,3.720000,3.720000,7575322
2019-05-09,3.720000,3.770000,3.700000,3.730000,3.730000,4988100
2019-05-10,3.750000,3.850000,3.710000,3.840000,3.840000,10805367
2019-05-13,3.790000,3.840000,3.740000,3.770000,3.770000,6151267
2019-05-14,3.720000,3.770000,3.660000,3.700000,3.700000,5529900
2019-05-15,3.750000,3.800000,3.710000,3.780000,3.780000,5728808
2019-05-16,3.790000,3.840000,3.780000,3.830000,3.830000,6699717
2019-05-17,3.850000,3.860000,3.540000,3.590000,3.590000,11371312
2019-05-20,3.580000,3.690000,3.580000,3.630000,3.630000,6411095
2019-05-21,3.660000,3.740000,3.630000,3.710000,3.710000,5967026
2019-05-22,3.730000,3.730000,3.580000,3.630000,3.630000,5504000
2019-05-23,3.620000,3.630000,3.540000,3.550000,3.550000,4646352
2019-05-24,3.530000,3.600000,3.460000,3.470000,3.470000,5074930
2019-05-27,3.500000,3.630000,3.450000,3.610000,3.610000,6281504
2019-05-28,3.620000,3.720000,3.590000,3.680000,3.680000,7599894
2019-05-29,3.670000,3.710000,3.640000,3.670000,3.670000,4715543
2019-05-30,3.650000,3.670000,3.570000,3.620000,3.620000,4836630
2019-05-31,3.620000,3.660000,3.560000,3.580000,3.580000,4492504
2019-06-03,3.580000,3.600000,3.460000,3.470000,3.470000,5406542
2019-06-04,3.480000,3.500000,3.380000,3.410000,3.410000,5902169
2019-06-05,3.420000,3.450000,3.380000,3.410000,3.410000,3526400
2019-06-06,3.430000,3.430000,3.270000,3.300000,3.300000,5375481
2019-06-10,3.320000,3.370000,3.270000,3.360000,3.360000,3377200
2019-06-11,3.340000,3.480000,3.340000,3.480000,3.480000,4380580
2019-06-12,3.480000,3.540000,3.460000,3.480000,3.480000,5038600
2019-06-13,3.500000,3.640000,3.470000,3.580000,3.580000,7513426
2019-06-14,3.550000,3.620000,3.430000,3.450000,3.450000,5362165
2019-06-19,3.540000,3.590000,3.510000,3.520000,3.520000,6518999
2019-06-20,3.520000,3.590000,3.480000,3.540000,3.540000,6206400
2019-06-21,3.640000,3.690000,3.580000,3.660000,3.660000,8706428
2019-06-24,3.670000,3.680000,3.580000,3.620000,3.620000,5443616
2019-06-25,3.600000,3.610000,3.510000,3.530000,3.530000,7201972
2019-06-26,3.500000,3.570000,3.480000,3.530000,3.530000,5077238
2019-06-27,3.560000,3.630000,3.540000,3.610000,3.610000,5797103
2019-06-28,3.600000,3.610000,3.420000,3.440000,3.440000,7174900
2019-07-01,3.500000,3.630000,3.460000,3.590000,3.590000,9280700
2019-07-02,3.630000,3.630000,3.560000,3.590000,3.590000,5276402
2019-07-03,3.560000,3.570000,3.520000,3.530000,3.530000,5391189
2019-07-04,3.560000,3.570000,3.450000,3.480000,3.480000,4422400
