Date,Price
1553727600000,414.97
1553814000000,413.38
1553900400000,414.01
1553986800000,414.01
1554069600000,339.66
1554156000000,339.66
1554242400000,338.65
1554328800000,329.45
1554415200000,330.58
1554501600000,329.44
1554588000000,329.43
1554674400000,329.41
1554760800000,283.74
1554847200000,284.64
1554933600000,290.93
1555020000000,290.32
1555106400000,308.96
1555192800000,291
1555279200000,280.46
1555365600000,280.51
1555452000000,280.46
1555538400000,280.27
1555624800000,329.5
1555711200000,329.2
1555797600000,329.99
1555884000000,325
1555970400000,324
1556056800000,324.97
1556143200000,319.99
1556229600000,312.98
1556316000000,310
1556402400000,350.09
1556488800000,319
1556575200000,319.9
1556661600000,315
1556748000000,315
1556834400000,319
1556920800000,315
1557007200000,314.5
1557093600000,314.5
1557180000000,309.99
1557266400000,309.9
1557352800000,309.99
1557439200000,309
1557525600000,309
1557612000000,309
1557698400000,307.99
1557784800000,307.99
1557871200000,307.95
1557957600000,314.51
1558044000000,304.49
1558130400000,304
1558216800000,302.08
1558303200000,299
1558389600000,295
1558476000000,287
1558562400000,284.72
1558648800000,281
1558735200000,277
1558821600000,277
1558908000000,274.98
1558994400000,274
1559080800000,273.98
1559167200000,273.6
1559253600000,270
1559340000000,278.84
1559426400000,278.84
1559512800000,278.19
1559599200000,270
1559685600000,270
1559772000000,270
1559858400000,266.44
1559944800000,263.8
1560031200000,293.74
1560117600000,268.9
1560204000000,269.9
1560290400000,293.4
1560376800000,290.22
1560463200000,265
1560549600000,289.93
1560636000000,291.05
1560722400000,269.65
1560808800000,287.87
1560895200000,233.44
1560981600000,258.03
1561068000000,258.59
1561154400000,260.95
1561240800000,260.95
1561327200000,258.69
1561413600000,258.51
1561500000000,259.02
1561586400000,262.99
1561672800000,293.06
1561759200000,260.29
1561845600000,260.29
1561932000000,273.22
1562018400000,258.5
1562104800000,252.11
1562191200000,232.36
